"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.263581770E0,7.745971680E-1,8.233337402E-1,9.916015625E0
4.275666730E0,7.602233887E-1,8.448791504E-1,9.803482056E0
4.287751691E0,7.219238281E-1,8.640289307E-1,9.652648926E0
4.299836652E0,7.171325684E-1,8.855743408E-1,9.532943726E0
4.311921613E0,7.147369385E-1,9.143066406E-1,9.540115356E0
4.324006574E0,7.243194580E-1,9.334564209E-1,9.631103516E0
4.336122053E0,7.386779785E-1,8.927612305E-1,9.667007446E0
4.348207014E0,7.434692383E-1,8.472747803E-1,9.568847656E0
4.360291975E0,7.817687988E-1,8.496551514E-1,9.621520996E0
4.372376936E0,7.745971680E-1,8.520507812E-1,9.623916626E0
4.384461897E0,7.506561279E-1,8.568420410E-1,9.547302246E0
4.396546857E0,7.195281982E-1,8.616333008E-1,9.621520996E0
4.408631818E0,7.290954590E-1,8.736114502E-1,9.750808716E0
4.420747297E0,7.458648682E-1,9.071197510E-1,9.803482056E0
4.432832258E0,7.506561279E-1,9.023284912E-1,9.813064575E0
4.444917219E0,7.338867188E-1,8.616333008E-1,9.746017456E0
4.457002180E0,7.075500488E-1,8.257141113E-1,9.647857666E0
4.469087141E0,6.788177490E-1,8.209381104E-1,9.573638916E0
4.481172102E0,6.788177490E-1,8.185424805E-1,9.528152466E0
4.493257063E0,6.860046387E-1,8.017730713E-1,9.547302246E0
4.505372541E0,7.195281982E-1,7.922058105E-1,9.599975586E0
4.517457502E0,7.386779785E-1,7.874145508E-1,9.645462036E0
4.529542463E0,7.602233887E-1,7.946014404E-1,9.671798706E0
4.541627424E0,7.195281982E-1,7.993774414E-1,9.702926636E0
4.553712385E0,6.716461182E-1,7.898101807E-1,9.736450195E0
4.565797346E0,6.644592285E-1,7.946014404E-1,9.844177246E0
4.577882307E0,7.171325684E-1,8.041687012E-1,9.837005615E0
4.589997785E0,7.650146484E-1,7.993774414E-1,9.638275146E0
4.602082746E0,7.458648682E-1,8.113555908E-1,9.396469116E0
4.614167707E0,7.099456787E-1,8.233337402E-1,9.329437256E0
4.626252668E0,7.099456787E-1,8.376922607E-1,9.410827637E0
4.638337629E0,7.195281982E-1,8.376922607E-1,9.571243286E0
4.650422590E0,7.099456787E-1,8.185424805E-1,9.781936646E0
4.662507551E0,7.003784180E-1,8.089599609E-1,9.990234375E0
4.674623029E0,6.907958984E-1,7.969970703E-1,1.007164001E1
4.686707990E0,7.003784180E-1,8.065643311E-1,9.927978516E0
4.698792951E0,7.123413086E-1,8.137512207E-1,9.726867676E0
4.710877912E0,7.003784180E-1,8.137512207E-1,9.511383057E0
4.722962873E0,7.243194580E-1,8.161468506E-1,9.286331177E0
4.735047834E0,8.320465088E-1,8.424835205E-1,9.149871826E0
4.747132795E0,7.793731689E-1,7.778320312E-1,9.492233276E0
4.759248273E0,6.644592285E-1,6.988220215E-1,9.882492065E0
4.771333234E0,6.237640381E-1,6.341857910E-1,9.882492065E0
4.783418195E0,6.716461182E-1,6.437683105E-1,9.587997437E0
4.795503156E0,7.410736084E-1,7.060089111E-1,9.473083496E0
4.807588117E0,7.793731689E-1,7.922058105E-1,9.767562866E0
4.819673078E0,7.889556885E-1,8.329010010E-1,1.011712646E1
4.831758039E0,7.219238281E-1,8.161468506E-1,1.006924438E1
4.843873518E0,6.524810791E-1,7.754364014E-1,9.777145386E0
4.855958479E0,6.716461182E-1,7.538909912E-1,9.554489136E0
4.868043439E0,7.027587891E-1,7.514953613E-1,9.377319336E0
4.880128400E0,7.195281982E-1,7.586822510E-1,9.231262207E0
4.892213361E0,7.075500488E-1,7.371368408E-1,9.238449097E0
4.904298322E0,6.788177490E-1,7.108001709E-1,9.468292236E0
4.916383283E0,6.644592285E-1,6.724853516E-1,9.753204346E0
4.928498762E0,7.027587891E-1,6.461486816E-1,9.937561035E0
4.940583723E0,7.362823486E-1,6.413726807E-1,1.000938416E1
4.952668684E0,7.434692383E-1,6.677093506E-1,9.932769775E0
4.964753645E0,7.434692383E-1,6.940460205E-1,9.779541016E0
4.976838605E0,7.434692383E-1,7.084045410E-1,9.635894775E0
