"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.682790688E0,-8.670687675E-3,-1.860655844E-2,2.428436279E-2
3.692861488E0,-6.362199783E-3,-2.107888460E-3,2.155780792E-2
3.702962807E0,-8.702635765E-3,-2.356424928E-3,2.359104156E-2
3.713033608E0,5.414485931E-4,-2.720624208E-3,2.796840668E-2
3.723104408E0,2.556085587E-3,4.067838192E-3,2.515602112E-2
3.733175209E0,2.527236938E-5,6.027951837E-3,1.291179657E-2
3.743246010E0,9.276151657E-3,5.484789610E-3,1.746082306E-2
3.753316811E0,2.003669739E-3,7.475256920E-3,1.718521118E-2
3.763387611E0,1.797556877E-3,7.126837969E-3,2.164173126E-2
3.773488930E0,1.625776291E-3,1.149527729E-2,1.655387878E-2
3.783559731E0,-5.689382553E-3,2.550719678E-2,1.867389679E-2
3.793630531E0,3.789305687E-3,8.351668715E-3,2.309989929E-2
3.803701332E0,1.336824894E-2,1.292377710E-2,3.691864014E-2
3.813772133E0,8.715987206E-3,1.028557122E-2,3.392505646E-2
3.823842934E0,1.831579208E-2,5.332037807E-3,2.621841431E-2
3.833913735E0,2.089679241E-2,7.701098919E-3,1.152992249E-2
3.844015053E0,1.631057262E-2,-1.950651407E-3,8.866310120E-3
3.854085854E0,2.413034439E-3,-6.658270955E-3,3.954887390E-3
3.864156654E0,6.607770920E-4,-1.598463953E-2,-5.640029907E-3
3.874227455E0,3.434300423E-3,-1.084770262E-2,3.838539124E-3
3.884298256E0,-1.079916954E-3,-1.058258116E-2,1.360893250E-3
3.894369057E0,6.362915039E-3,-5.468219519E-3,-3.473281860E-3
